Seria1 - X;Seria1 - Y;
285.75;1604
285.79;1513
285.84;1131
285.88;1384
285.93;1268
285.97;1156
286.02;1236
286.06;1057
286.1;1076
286.15;1074
286.19;1290
286.24;1274
286.28;1404
286.33;1250
286.37;1219
286.41;1235
286.46;1221
286.5;1172
286.55;1299
286.59;1063
286.63;1263
286.68;1228
286.72;1176
286.77;983
286.81;1445
286.86;1375
286.9;966
286.94;1064
286.99;1255
287.03;1262
287.08;1135
287.12;1177
287.17;1408
287.21;1117
287.25;1189
287.3;1191
287.34;1322
287.39;1316
287.43;1192
287.47;1048
287.52;1159
287.56;1245
287.61;1184
287.65;1028
287.7;1204
287.74;1099
287.78;1106
287.83;1212
287.87;1346
287.92;1266
287.96;1215
288.01;971
288.05;1436
288.09;1329
288.14;1157
288.18;1029
288.23;1339
288.27;1136
288.31;1228
288.36;1206
288.4;1376
288.45;1185
288.49;1112
288.54;1070
288.58;1183
288.62;1108
288.67;1126
288.71;1228
288.76;1433
288.8;1131
288.85;1210
288.89;1127
288.93;1200
288.98;1022
289.02;1193
289.07;1377
289.11;1225
289.15;1166
289.2;1141
289.24;1166
289.29;1214
289.33;1274
289.38;1223
289.42;1114
289.46;1225
289.51;1265
289.55;1133
289.6;1031
289.64;1107
289.68;1356
289.73;1090
289.77;1106
289.82;1337
289.86;1261
289.91;1204
289.95;975
289.99;1145
290.04;1086
290.08;1072
290.13;1108
290.17;1195
290.21;1236
290.26;1083
290.3;1048
290.35;998
290.39;1199
290.44;936
290.48;1097
290.52;1168
290.57;1289
290.61;1057
290.66;962
290.7;1218
290.74;1218
290.79;1002
290.83;1064
290.88;1145
290.92;1037
290.96;1175
291.01;1037
291.05;1392
291.1;1394
291.14;874
291.19;1239
291.23;1128
291.27;1420
291.32;913
291.36;1019
291.41;1207
291.45;1296
291.49;1120
291.54;1022
291.58;1067
291.63;1229
291.67;1096
291.72;1108
291.76;1115
291.8;897
291.85;992
291.89;1040
291.94;1352
291.98;1259
292.02;1070
292.07;1086
292.11;1320
292.16;1204
292.2;1073
292.24;1057
292.29;1117
292.33;1180
292.38;1044
292.42;1022
292.47;904
292.51;886
292.55;972
292.6;1098
292.64;1109
292.69;1268
292.73;1165
292.77;1066
292.82;1007
292.86;1264
292.91;898
292.95;1040
292.99;1189
293.04;1141
293.08;1000
293.13;1013
293.17;1064
293.22;1322
293.26;1066
293.3;974
293.35;1010
293.39;1056
293.44;899
293.48;1117
293.52;1025
293.57;1049
293.61;1040
293.66;1043
293.7;836
293.74;992
293.79;916
293.83;1030
293.88;1231
293.92;1180
293.96;926
294.01;1172
294.05;1071
294.1;1079
294.14;1014
294.19;1001
294.23;928
294.27;1017
294.32;939
294.36;1097
294.41;1222
294.45;1116
294.49;886
294.54;1053
294.58;1186
294.63;1217
294.67;958
294.71;1071
294.76;804
294.8;849
294.85;952
294.89;959
294.93;947
294.98;956
295.02;1020
295.07;978
295.11;1129
295.15;909
295.2;1060
295.24;1176
295.29;1229
295.33;990
295.38;852
295.42;1052
295.46;1140
295.51;804
295.55;929
295.6;944
295.64;1004
295.68;866
295.73;1042
295.77;1072
295.82;948
295.86;924
295.9;833
295.95;991
295.99;892
296.04;990
296.08;1014
296.12;1010
296.17;901
296.21;1002
296.26;939
296.3;785
296.34;1035
296.39;958
296.43;1053
296.48;987
296.52;1034
296.56;919
296.61;923
296.65;816
296.7;1021
296.74;1003
296.78;961
296.83;905
296.87;974
296.92;956
296.96;863
29;856
297.05;882
297.09;1049
297.14;1016
297.18;891
297.22;970
297.27;951
297.31;858
297.36;882
297.4;759
297.45;827
297.49;891
297.53;1061
297.58;923
297.62;961
297.67;841
297.71;831
297.75;854
297.8;827
297.84;894
297.89;938
297.93;1165
297.97;1129
298.02;869
298.06;969
298.11;1039
298.15;894
298.19;676
298.24;976
298.28;926
298.33;1347
298.37;783
298.41;902
298.46;1022
298.5;1049
298.55;811
298.59;857
298.63;791
298.68;1239
298.72;736
298.77;893
298.81;1090
298.85;983
298.9;901
298.94;856
298.99;992
299.03;1235
299.07;977
299.12;864
299.16;862
299.21;932
299.25;815
299.29;724
299.34;1056
299.38;1279
299.43;1042
299.47;805
299.51;694
299.56;1068
299.6;933
299.65;807
299.69;926
299.73;941
299.78;710
299.82;828
299.86;939
299.91;989
299.95;836
30;925
300.04;902
300.08;995
300.13;818
300.17;730
300.22;1324
300.26;781
300.3;923
300.35;999
300.39;1121
300.44;866
300.48;790
300.52;841
300.57;795
300.61;1018
300.66;865
300.7;871
300.74;1066
300.79;809
300.83;857
300.88;944
300.92;895
300.96;881
301.01;932
301.05;848
301.1;768
301.14;863
301.18;788
301.23;760
301.27;1050
301.32;856
301.36;931
301.4;830
301.45;918
301.49;799
301.54;990
301.58;755
301.62;823
301.67;775
301.71;783
301.76;931
301.8;1093
301.84;809
301.89;761
301.93;895
301.97;935
302.02;864
302.06;1002
302.11;824
302.15;1199
302.19;1039
302.24;882
302.28;759
302.33;828
302.37;1079
